1.00,6,2,MW11
1.01,10,9,MWF10
1.02,5,18,MWR02
1.03,7,18,MWF02
1.04,1,12,MW01
1.05,3,16,MWF04
1.06,3,12,MWF04
1.07,7,15,MWF03
1.08,4,10,TR09
1.09,9,17,MW10
1.1,1,19,MWR02
1.11,9,1,MWF11
1.12,10,20,MWF11
1.13,1,12,TR01
1.14,3,18,MW10
1.15,2,9,MWF02
1.16,4,12,TR03
1.17,5,10,MWF03
1.18,3,8,MWF11
1.19,3,18,MW04
2.00,5,9,TR09
2.01,2,2,MWF11
2.02,1,17,MWR04
2.03,6,1,MWR11
2.04,3,2,MWF12
2.05,2,2,MWR03
2.06,2,1,TR02
2.07,1,1,MWF12
2.08,5,5,MWR09
2.09,5,2,MWF11
2.10,6,12,TR02
2.11,9,19,MWF10
2.12,10,4,MWF02
2.13,5,20,MW02
2.14,8,19,MWR03
2.15,9,19,MWF01
2.16,9,20,MW04
2.17,10,20,MWR09
2.18,6,16,MW09
2.19,6,19,TR12
3.00,1,10,MW01
3.01,2,19,MW10
3.02,8,7,MWR09
3.03,7,12,MWR12
3.04,4,5,MW01
3.05,10,15,TR01
3.06,1,6,MWR10
3.07,5,11,TR09
3.08,4,14,MWR03
3.09,8,18,MWF03
3.10,8,19,TR04
3.11,3,11,MWF09
3.12,5,4,TR04
3.13,5,4,MWF12
3.14,7,6,TR01
3.15,7,17,TR02
3.16,8,6,TR01
3.17,3,16,MWF10
3.18,7,6,TR01
3.19,7,19,MW04
4.00,4,11,MW12
4.01,2,5,MW09
4.02,5,13,MWR11
4.03,6,16,TR04
4.04,3,7,TR04
4.05,7,13,MWF12
4.06,7,15,MWR02
4.07,5,4,MWR10
4.08,6,4,MWR01
4.09,5,12,TR10
4.10,5,8,TR03
4.11,6,13,MW09
4.12,4,13,MWR04
4.13,9,13,MW02
4.14,5,15,TR11
4.15,5,13,TR04
4.16,7,15,MW03
4.17,5,5,TR02
4.18,5,10,MWF11
4.19,3,9,MWF02
5.00,1,19,TR03
5.01,1,19,MWR04
5.02,1,20,MW02
5.03,3,17,MWF11
5.04,3,9,TR04
5.05,1,14,MW04
5.06,1,16,MWF04
5.07,2,12,MWR02
5.08,1,20,MWR02
5.09,6,18,MW01
5.10,7,14,MWR11
5.11,2,8,TR10
5.12,1,17,MW09
5.13,2,10,TR09
5.14,5,20,MWR03
5.15,1,17,MWF03
5.16,2,20,MWF02
5.17,4,20,MWR01
5.18,3,20,TR01
5.19,5,9,MWF03
6.00,10,1,MWF04
6.01,5,4,MWF10
6.02,5,6,MW03
6.002,5,6,MW02
6.003,2,9,TR11
6.004,1,2,TR04
6.005,5,18,MWR03
6.006,5,19,MW03
6.007,2,10,MWR11
6.011,1,10,MW12
6.012,3,7,TR01
6.013,8,18,MW03
6.033,6,8,MW10
6.034,8,1,MWF01
6.035,9,16,TR03
6.045,10,8,MWF03
6.046,10,6,MW10
6.111,9,3,MWF01
6.115,10,4,TR11
6.172,6,9,MWF10
6.828,8,19,MW04
6.837,8,9,MW02
7.00,7,1,MW09
7.01,4,8,TR09
7.02,3,2,MW10
7.03,2,8,MWF01
7.04,10,5,MWR10
7.05,8,2,MWR09
7.06,4,1,TR03
7.07,1,13,MW03
7.08,1,1,MWF12
7.09,1,1,MWR09
7.10,4,4,MWF01
7.11,7,4,MWR01
7.12,8,4,TR10
7.13,9,6,MWR03
7.14,1,3,TR03
7.15,3,3,MWR09
7.16,7,1,TR12
7.17,10,1,MW04
7.18,10,2,MWR11
7.19,10,5,MWF09
8.00,1,4,MW10
8.01,2,11,MW04
8.02,1,6,MW01
8.03,1,16,MWR09
8.04,1,7,TR12
8.05,4,12,MW02
8.06,3,11,MWR12
8.07,2,6,MW02
8.08,4,1,TR04
8.09,5,10,MWF03
8.10,4,6,MW04
8.11,4,12,MW12
8.12,4,12,MW09
8.13,4,17,MW03
8.14,2,12,MWF10
8.15,3,7,MW10
8.16,3,12,TR01
8.17,2,6,TR10
8.18,4,10,TR01
8.19,2,10,MW11
9.00,6,10,MWR10
9.01,8,9,MW02
9.02,8,14,MW02
9.03,9,3,TR02
9.04,9,12,MW02
9.05,5,14,MW09
9.06,8,13,MWF04
9.07,10,12,MW04
9.08,2,10,TR11
9.09,10,13,MWR11
9.10,10,12,TR02
9.11,9,9,MW11
9.12,10,8,MWF11
9.13,7,9,TR01
9.14,9,4,MWR02
9.15,10,9,TR03
9.16,9,10,MWR11
9.17,9,11,TR10
9.18,7,16,MWF04
9.19,9,9,MWF04
10.00,1,20,TR12
10.01,2,20,MW02
10.02,1,16,TR11
10.03,6,19,TR02
10.04,3,13,TR10
10.05,3,4,TR03
10.06,1,20,MWR04
10.07,5,18,MWF11
10.08,1,17,MW04
10.09,6,20,MWR03
10.10,10,19,MWR11
10.11,9,19,MWF03
10.12,10,20,MWF09
10.13,5,20,TR01
10.14,8,18,MWF12
10.15,8,13,TR10
10.16,10,14,MWF11
